sensor.living_temperatuur | Temperatuur |  | tado | 
sensor.living_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.living_tado_mode | Tado mode |  | tado | 
sensor.living_verwarmen | Verwarmen |  | tado | 
sensor.keuken_temperatuur | Temperatuur |  | tado | 
sensor.keuken_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.keuken_tado_mode | Tado mode |  | tado | 
sensor.keuken_verwarmen | Verwarmen |  | tado | 
sensor.salon_temperatuur | Temperatuur |  | tado | 
sensor.salon_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.salon_tado_mode | Tado mode |  | tado | 
sensor.salon_verwarmen | Verwarmen |  | tado | 
climate.living |  |  | tado | 
climate.keuken |  |  | tado | 
climate.salon |  |  | tado | 
device_tracker.telefoon_pieter | telefoon pieter |  | tado | 
device_tracker.telefoon_friede | Telefoon Friede |  | tado | 
sensor.visonic_codesecure_a0c09b_32_signaalsterkte | Signaalsterkte |  | rfxtrx | 
sensor.visonic_codesecure_a0c09b_32_sensor_status | Sensorstatus |  | rfxtrx | 
sensor.visonic_codesecure_a0c09b_32_batterij | Batterij |  | rfxtrx | 
sensor.visonic_codesecure_95e605_32_signaalsterkte | Signaalsterkte |  | rfxtrx | 
sensor.visonic_codesecure_95e605_32_sensor_status | Sensorstatus |  | rfxtrx | 
sensor.visonic_codesecure_95e605_32_batterij | Batterij |  | rfxtrx | 
climate.tado_smart_radiator_thermostat_va1875317504 | tado Smart Radiator Thermostat VA1875317504 |  | homekit_controller | 
button.tado_smart_radiator_thermostat_va1875317504_identify | tado Smart Radiator Thermostat VA1875317504 Identify |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va1875317504_current_temperature | tado Smart Radiator Thermostat VA1875317504 Current Temperature |  | homekit_controller | 
select.tado_smart_radiator_thermostat_va1875317504_temperature_display_units | tado Smart Radiator Thermostat VA1875317504 Temperature Display Units |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va1875317504_current_humidity | tado Smart Radiator Thermostat VA1875317504 Current Humidity |  | homekit_controller | 
climate.tado_smart_radiator_thermostat_va2801014016 | tado Smart Radiator Thermostat VA2801014016 |  | homekit_controller | 
button.tado_smart_radiator_thermostat_va2801014016_identify | tado Smart Radiator Thermostat VA2801014016 Identify |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va2801014016_current_temperature | tado Smart Radiator Thermostat VA2801014016 Current Temperature |  | homekit_controller | 
select.tado_smart_radiator_thermostat_va2801014016_temperature_display_units | tado Smart Radiator Thermostat VA2801014016 Temperature Display Units |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va2801014016_current_humidity | tado Smart Radiator Thermostat VA2801014016 Current Humidity |  | homekit_controller | 
climate.tado_smart_radiator_thermostat_va2734626048 | tado Smart Radiator Thermostat VA2734626048 |  | homekit_controller | 
button.tado_smart_radiator_thermostat_va2734626048_identify | tado Smart Radiator Thermostat VA2734626048 Identify |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va2734626048_current_temperature | tado Smart Radiator Thermostat VA2734626048 Current Temperature |  | homekit_controller | 
select.tado_smart_radiator_thermostat_va2734626048_temperature_display_units | tado Smart Radiator Thermostat VA2734626048 Temperature Display Units |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va2734626048_current_humidity | tado Smart Radiator Thermostat VA2734626048 Current Humidity |  | homekit_controller | 
climate.tado_smart_radiator_thermostat_va2446595328 | tado Smart Radiator Thermostat VA2446595328 |  | homekit_controller | 
button.tado_smart_radiator_thermostat_va2446595328_identify | tado Smart Radiator Thermostat VA2446595328 Identify |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va2446595328_current_temperature | tado Smart Radiator Thermostat VA2446595328 Current Temperature |  | homekit_controller | 
select.tado_smart_radiator_thermostat_va2446595328_temperature_display_units | tado Smart Radiator Thermostat VA2446595328 Temperature Display Units |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va2446595328_current_humidity | tado Smart Radiator Thermostat VA2446595328 Current Humidity |  | homekit_controller | 
climate.tado_smart_radiator_thermostat_va1628902912 | tado Smart Radiator Thermostat VA1628902912 |  | homekit_controller | 
button.tado_smart_radiator_thermostat_va1628902912_identify | tado Smart Radiator Thermostat VA1628902912 Identify |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va1628902912_current_temperature | tado Smart Radiator Thermostat VA1628902912 Current Temperature |  | homekit_controller | 
select.tado_smart_radiator_thermostat_va1628902912_temperature_display_units | tado Smart Radiator Thermostat VA1628902912 Temperature Display Units |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va1628902912_current_humidity | tado Smart Radiator Thermostat VA1628902912 Current Humidity |  | homekit_controller | 
climate.tado_smart_radiator_thermostat_va4240970496 | tado Smart Radiator Thermostat VA4240970496 |  | homekit_controller | 
button.tado_smart_radiator_thermostat_va4240970496_identify | tado Smart Radiator Thermostat VA4240970496 Identify |  | homekit_controller | 
